datetime,open,high,low,close,volume
2023-03-03,92.74000,94.94000,92.66000,94.90000,55695300
2023-03-02,91.41000,92.23000,90.39000,92.13000,55509400
2023-03-01,93.87000,94.68000,91.59000,92.17000,52299500
2023-02-28,93.14000,94.69000,92.92000,94.23000,43959300
2023-02-27,94.28000,94.78000,93.14000,93.76000,47470300
2023-02-24,93.53000,94.14000,92.32000,93.50000,57053800
2023-02-23,96.12000,96.43000,93.67000,95.82000,48467000
2023-02-22,95.10000,97.01000,94.80000,95.79000,59534100
2023-02-21,95.34000,95.61000,94.27000,94.58000,56580400
2023-02-17,97.80000,97.94000,95.65000,97.20000,59967700
2023-02-16,99.21000,100.63000,98.10000,98.15000,56339200
2023-02-15,99.09000,101.17000,98.45000,101.16000,48053900
2023-02-14,98.41000,100.92000,97.52000,99.70000,56202900
2023-02-13,97.85000,99.68000,96.91000,99.54000,52841500
2023-02-10,97.56000,98.82000,96.23000,97.61000,52698600
2023-02-09,101.32000,101.78000,97.57000,98.24000,64622500
2023-02-08,102.04000,102.67000,98.78000,100.05000,75878300
2023-02-07,101.17000,102.41000,98.08000,102.11000,119501300
2023-02-06,102.93000,103.95000,100.65000,102.18000,81945200
2023-02-03,105.26000,108.78000,102.52000,103.39000,144173400
2023-02-02,110.25000,114.00000,108.88000,112.91000,158154200
2023-02-01,102.53000,106.24000,101.24000,105.15000,80450100
2023-01-31,101.16000,103.35000,101.14000,103.13000,66527300
2023-01-30,101.09000,101.74000,99.01000,100.55000,70691900
2023-01-27,99.53000,103.49000,99.53000,102.24000,87678100
2023-01-26,98.24000,99.49000,96.92000,99.22000,68523600
2023-01-25,92.56000,97.24000,91.52000,97.18000,94261600
2023-01-24,96.93000,98.09000,96.00000,96.32000,66929500
2023-01-23,97.56000,97.78000,95.86000,97.52000,76501100
2023-01-20,93.86000,97.35000,93.20000,97.25000,67307100
2023-01-19,94.74000,95.44000,92.86000,93.68000,69002700
2023-01-18,97.25000,99.32000,95.38000,95.46000,79570400
2023-01-17,98.68000,98.89000,95.73000,96.05000,72755000
2023-01-13,94.18000,98.37000,94.12000,98.12000,85413600
2023-01-12,96.93000,97.19000,93.50000,95.27000,85254800
2023-01-11,90.93000,95.26000,90.93000,95.09000,103126200
2023-01-10,87.57000,90.19000,87.29000,89.87000,67756600
2023-01-09,87.46000,89.48000,87.08000,87.36000,65266100
2023-01-06,83.03000,86.40000,81.43000,86.08000,83219100
2023-01-05,85.33000,85.42000,83.07000,83.12000,67930800
2023-01-04,86.55000,86.98000,83.36000,85.14000,68885100
2023-01-03,85.46000,86.96000,84.21000,85.82000,76706000
2022-12-30,83.12000,84.05000,82.47000,84.00000,62330000
2022-12-29,82.87000,84.55000,82.55000,84.18000,54995900
2022-12-28,82.80000,83.48000,81.69000,81.82000,58228600
2022-12-27,84.97000,85.35000,83.00000,83.04000,57284000
2022-12-23,83.25000,85.78000,82.93000,85.25000,57433700
2022-12-22,85.52000,85.68000,82.25000,83.79000,81431300
2022-12-21,86.18000,87.23000,85.21000,86.77000,59267200
2022-12-20,85.33000,86.61000,84.33000,85.19000,74348300
2022-12-19,87.51000,87.63000,84.51000,84.92000,83531500
2022-12-16,88.27000,89.35000,86.73000,87.86000,146144100
2022-12-15,89.89000,89.97000,87.47000,88.45000,84802900
2022-12-14,92.50000,93.46000,89.87000,91.58000,70298000
2022-12-13,95.23000,96.25000,90.52000,92.49000,100212000
2022-12-12,89.21000,90.58000,87.87000,90.55000,61999800
2022-12-09,88.90000,90.30000,88.63000,89.09000,67398500
2022-12-08,89.24000,90.86000,87.88000,90.35000,73305900
2022-12-07,88.34000,89.89000,87.48000,88.46000,68086900
2022-12-06,90.50000,91.04000,87.90000,88.25000,75503600
2022-12-05,93.05000,94.06000,90.82000,91.01000,71535500
2022-12-02,94.48000,95.36000,93.78000,94.13000,72496400
2022-12-01,96.99000,97.23000,94.92000,95.50000,68488000
2022-11-30,92.47000,96.54000,91.53000,96.54000,102805800
2022-11-29,94.04000,94.41000,91.44000,92.42000,65567300
2022-11-28,93.93000,96.40000,93.43000,93.95000,74943100
2022-11-25,93.79000,94.43000,93.07000,93.41000,35088600
2022-11-23,93.24000,94.58000,92.83000,94.13000,59414700
2022-11-22,92.62000,93.35000,90.87000,93.20000,62192000
2022-11-21,93.97000,95.02000,90.59000,92.46000,84330300
2022-11-18,95.95000,95.99000,92.48000,94.14000,72428200
2022-11-17,95.37000,96.97000,94.03000,94.85000,82617900
2022-11-16,96.85000,98.49000,95.54000,97.12000,87958800
2022-11-15,103.21000,103.79000,97.34000,98.94000,111336300
2022-11-14,98.77000,100.12000,97.29000,98.49000,99533100
2022-11-11,97.88000,101.19000,96.66000,100.79000,111590500
2022-11-10,92.94000,98.69000,91.65000,96.63000,173414900
2022-11-09,89.47000,89.48000,85.87000,86.14000,90796200
2022-11-08,90.79000,91.72000,88.23000,89.98000,88703400
2022-11-07,91.95000,92.10000,89.04000,90.53000,77495700
2022-11-04,91.49000,92.44000,88.04000,90.98000,129101300
2022-11-03,92.47000,93.50000,89.02000,89.30000,136683300
2022-11-02,97.32000,97.74000,92.01000,92.12000,135761800
2022-11-01,103.99000,104.58000,96.06000,96.79000,153370000
2022-10-31,103.56000,104.87000,100.74000,102.44000,99251400
2022-10-28,97.91000,103.96000,97.66000,103.41000,223133400
2022-10-27,113.92000,114.12000,109.77000,110.96000,129605400
2022-10-26,116.00000,119.35000,114.76000,115.66000,68802300
2022-10-25,119.65000,121.32000,118.95000,120.60000,50934600
2022-10-24,119.98000,120.39000,116.57000,119.82000,49531500
2022-10-21,114.79000,119.59000,114.50000,119.32000,55660500
2022-10-20,113.83000,118.24000,113.51000,115.25000,48795100
2022-10-19,114.71000,116.59000,113.22000,115.07000,47198100
2022-10-18,119.06000,119.52000,114.79000,116.36000,65607400
2022-10-17,110.11000,114.19000,110.09000,113.79000,62782000
2022-10-14,114.10000,114.96000,106.60000,106.90000,67737300
2022-10-13,107.88000,113.44000,105.35000,112.53000,86868100
2022-10-12,112.49000,113.83000,111.40000,112.90000,45728700
2022-10-11,112.71000,115.48000,110.39000,112.21000,56432200
2022-10-10,115.10000,116.25000,112.43000,113.67000,42339700
2022-10-07,118.00000,118.17000,113.88000,114.56000,54678000
2022-10-06,120.77000,121.53000,119.50000,120.30000,42253800
2022-10-05,118.58000,121.75000,117.69000,120.95000,48217500
2022-10-04,119.89000,123.00000,119.79000,121.09000,62812600
2022-10-03,113.58000,116.91000,112.45000,115.88000,50941900
2022-09-30,114.08000,116.92000,112.84000,113.00000,59479600
2022-09-29,115.60000,116.07000,113.06000,114.80000,58969700
2022-09-28,114.38000,118.70000,113.80000,118.01000,55763800
2022-09-27,117.20000,118.32000,113.05000,114.41000,60094700
2022-09-26,113.30000,117.34000,113.13000,115.15000,62723300
2022-09-23,116.00000,116.05000,112.06000,113.78000,65126700
